id_personne,region,date_declaration,date_payment,montant_declared,risque
31,Nouvelle-Aquitaine,2024-07-19,2024-09-17,3457.17,0
32,Occitanie,2025-07-07,2025-10-01,1822.66,0
33,Île-de-France,2023-09-25,2023-11-30,544.7,0
34,Occitanie,2024-06-12,2024-08-27,4087.75,0
35,Nouvelle-Aquitaine,2023-05-06,2023-06-07,868.81,0
36,Nouvelle-Aquitaine,2023-05-18,2023-07-26,4017.51,0
37,Île-de-France,2023-10-03,2023-12-24,1644.3,0
38,Nouvelle-Aquitaine,2023-08-28,2023-10-24,1961.65,0
39,Île-de-France,2024-02-25,2024-03-12,730.17,1
40,Occitanie,2024-02-09,2024-03-01,1905.21,0
41,Nouvelle-Aquitaine,2025-02-05,2025-04-30,549.66,1
42,Provence-Alpes-Côte d'Azur,2022-12-09,2023-01-04,139.87,0
43,Auvergne-Rhône-Alpes,2023-07-18,2023-09-29,3686.73,0
44,Île-de-France,2023-02-24,2023-04-12,4367.64,0
45,Occitanie,2023-08-26,2023-10-27,238.09,0
46,Auvergne-Rhône-Alpes,2024-04-26,2024-05-31,3457.66,0
47,Provence-Alpes-Côte d'Azur,2023-09-09,2023-10-19,1869.61,0
48,Provence-Alpes-Côte d'Azur,2024-12-01,2025-01-27,1926.19,0
49,Provence-Alpes-Côte d'Azur,2025-02-03,2025-04-17,279.07,1
50,Occitanie,2024-06-25,2024-07-19,3267.61,0
51,Nouvelle-Aquitaine,2024-07-06,2024-07-10,1408.65,0
52,Provence-Alpes-Côte d'Azur,2025-01-06,2025-02-02,972.84,0
53,Auvergne-Rhône-Alpes,2025-02-19,2025-03-06,3312.46,0
54,Île-de-France,2023-04-01,2023-05-04,3047.89,0
55,Occitanie,2023-11-27,2023-12-05,1182.95,0
56,Auvergne-Rhône-Alpes,2023-12-07,2024-01-03,2298.99,0
57,Nouvelle-Aquitaine,2025-05-15,2025-08-03,780.16,0
58,Île-de-France,2023-01-10,2023-03-14,375.4,0
59,Nouvelle-Aquitaine,2023-02-10,2023-04-30,4010.59,0
60,Île-de-France,2024-06-25,2024-08-12,461.94,0
61,Auvergne-Rhône-Alpes,2024-09-24,2024-10-16,2928.82,0
62,Provence-Alpes-Côte d'Azur,2023-08-30,2023-11-12,4794.09,0
63,Auvergne-Rhône-Alpes,2025-04-22,2025-05-31,1751.84,0
64,Nouvelle-Aquitaine,2025-06-08,2025-06-25,4137.38,1
65,Auvergne-Rhône-Alpes,2022-12-04,2023-03-04,438.9,0
66,Provence-Alpes-Côte d'Azur,2025-02-06,2025-04-18,1639.31,0
67,Île-de-France,2024-05-29,2024-08-24,3395.14,0
68,Provence-Alpes-Côte d'Azur,2024-06-04,2024-08-06,148.12,0
69,Île-de-France,2024-12-03,2025-02-27,975.62,0
70,Nouvelle-Aquitaine,2024-12-07,2025-02-15,4836.4,0
71,Île-de-France,2025-08-11,2025-09-26,3607.35,0
72,Nouvelle-Aquitaine,2024-02-24,2024-04-05,3581.69,0
73,Île-de-France,2023-01-02,2023-03-29,569.24,0
74,Auvergne-Rhône-Alpes,2024-05-02,2024-06-01,1798.8,0
75,Occitanie,2024-07-15,2024-08-28,4327.16,0
76,Nouvelle-Aquitaine,2024-07-08,2024-07-20,3218.99,0
77,Occitanie,2023-12-30,2024-02-05,4333.74,0
78,Nouvelle-Aquitaine,2023-04-09,2023-06-19,381.4,0
79,Auvergne-Rhône-Alpes,2024-01-25,2024-02-04,2219.71,0
80,Occitanie,2024-09-17,2024-09-18,4169.37,1
81,Occitanie,2024-11-24,2024-12-28,4205.74,0
82,Auvergne-Rhône-Alpes,2024-05-28,2024-07-20,3789.61,0
83,Occitanie,2024-01-20,2024-03-01,1734.55,0
84,Nouvelle-Aquitaine,2025-03-30,2025-05-29,4702.72,0
85,Nouvelle-Aquitaine,2023-08-14,2023-08-31,2524.23,0
86,Occitanie,2025-08-09,2025-11-06,2744.97,0
87,Auvergne-Rhône-Alpes,2023-06-17,2023-07-31,503.38,0
88,Île-de-France,2025-04-28,2025-05-26,3628.26,0
89,Occitanie,2025-08-07,2025-08-26,1235.67,0
90,Provence-Alpes-Côte d'Azur,2025-04-21,2025-06-30,1035.88,0
91,Auvergne-Rhône-Alpes,2023-11-14,2023-11-21,2236.6,0
92,Provence-Alpes-Côte d'Azur,2024-03-30,2024-05-25,1466.69,0
93,Occitanie,2025-05-26,2025-08-23,2991.32,0
94,Auvergne-Rhône-Alpes,2025-03-17,2025-05-11,4562.23,0
95,Occitanie,2024-02-13,2024-04-24,3666.78,0
96,Provence-Alpes-Côte d'Azur,2023-10-11,2023-10-16,3597.86,0
97,Provence-Alpes-Côte d'Azur,2023-07-19,2023-07-23,2525.72,0
98,Nouvelle-Aquitaine,2023-05-03,2023-06-02,3509.8,0
99,Île-de-France,2024-09-19,2024-12-18,1207.71,0
100,Occitanie,2024-12-12,2025-03-10,4576.6,0
101,Nouvelle-Aquitaine,2022-11-09,2023-01-04,569.66,0
102,Île-de-France,2023-03-28,2023-06-20,4204.97,0
103,Île-de-France,2024-12-28,2025-01-14,2845.54,0
104,Occitanie,2024-03-08,2024-05-24,2561.11,0
105,Auvergne-Rhône-Alpes,2023-08-31,2023-09-29,117.51,0
106,Île-de-France,2024-05-23,2024-06-16,1935.07,0
107,Occitanie,2022-10-12,2022-10-26,4389.28,0
108,Occitanie,2025-06-12,2025-07-10,777.06,0
109,Île-de-France,2023-10-09,2024-01-01,2931.97,0
110,Auvergne-Rhône-Alpes,2023-11-05,2024-01-17,1810.37,0
111,Occitanie,2025-05-11,2025-06-14,2760.48,0
112,Auvergne-Rhône-Alpes,2024-04-06,2024-05-04,245.55,0
113,Occitanie,2025-02-09,2025-04-05,2320.08,1
114,Provence-Alpes-Côte d'Azur,2024-07-04,2024-08-12,2691.98,0
115,Nouvelle-Aquitaine,2025-02-16,2025-05-06,3626.54,0
116,Provence-Alpes-Côte d'Azur,2025-02-21,2025-04-27,972.62,0
117,Nouvelle-Aquitaine,2024-12-09,2025-01-29,2715.9,1
118,Provence-Alpes-Côte d'Azur,2023-09-10,2023-10-06,298.03,0
119,Nouvelle-Aquitaine,2024-05-07,2024-05-20,2264.12,0
120,Provence-Alpes-Côte d'Azur,2024-05-26,2024-08-21,2947.63,0
121,Occitanie,2023-01-22,2023-04-12,2382.68,0
122,Nouvelle-Aquitaine,2025-06-07,2025-08-13,3848.53,0
123,Provence-Alpes-Côte d'Azur,2024-07-24,2024-10-07,2186.67,0
124,Auvergne-Rhône-Alpes,2024-11-21,2024-12-05,2437.61,0
125,Nouvelle-Aquitaine,2023-02-19,2023-03-04,1331.69,0
126,Provence-Alpes-Côte d'Azur,2024-09-07,2024-11-17,1603.74,0
127,Provence-Alpes-Côte d'Azur,2024-10-31,2024-12-05,4904.41,0
128,Nouvelle-Aquitaine,2024-01-01,2024-02-13,662.24,0
129,Île-de-France,2023-12-27,2024-03-08,3393.74,0
130,Occitanie,2023-05-19,2023-08-14,2914.78,1
131,Auvergne-Rhône-Alpes,2023-02-25,2023-03-25,4039.94,0
132,Occitanie,2025-03-24,2025-04-06,1832.11,0
133,Île-de-France,2024-07-16,2024-07-31,3704.76,0
134,Occitanie,2024-01-08,2024-02-06,4270.93,0
135,Occitanie,2025-02-18,2025-02-22,2211.1,0
136,Auvergne-Rhône-Alpes,2025-02-10,2025-02-14,1051.7,0
137,Auvergne-Rhône-Alpes,2025-06-18,2025-06-28,3875.99,0
138,Auvergne-Rhône-Alpes,2024-06-30,2024-07-18,4671.71,0
139,Île-de-France,2023-07-14,2023-09-21,3438.93,0
140,Île-de-France,2025-04-04,2025-04-16,1416.05,0
141,Auvergne-Rhône-Alpes,2024-11-20,2025-02-07,4303.27,0
142,Île-de-France,2024-09-23,2024-12-14,3121.66,0
143,Île-de-France,2022-12-27,2023-02-06,2106.7,0
144,Provence-Alpes-Côte d'Azur,2023-03-07,2023-05-01,1348.66,0
145,Provence-Alpes-Côte d'Azur,2023-05-22,2023-07-24,1981.63,0
146,Auvergne-Rhône-Alpes,2024-07-03,2024-08-13,3859.3,0
147,Île-de-France,2024-08-18,2024-11-07,1985.45,0
148,Occitanie,2023-08-21,2023-08-26,4337.32,0
149,Nouvelle-Aquitaine,2025-07-27,2025-08-10,1198.5,0
150,Île-de-France,2022-10-20,2022-12-03,2034.23,1
151,Occitanie,2024-11-11,2025-01-26,817.85,0
152,Nouvelle-Aquitaine,2023-02-04,2023-04-29,3006.02,1
153,Île-de-France,2025-06-13,2025-09-11,373.94,0
154,Occitanie,2022-11-23,2023-01-17,2471.21,0
155,Provence-Alpes-Côte d'Azur,2024-08-27,2024-10-11,3524.78,0
156,Provence-Alpes-Côte d'Azur,2025-05-13,2025-05-22,156.43,0
157,Auvergne-Rhône-Alpes,2024-05-16,2024-06-16,732.9,0
158,Nouvelle-Aquitaine,2024-08-15,2024-09-01,3312.42,0
159,Nouvelle-Aquitaine,2024-03-11,2024-05-18,4072.1,0
160,Auvergne-Rhône-Alpes,2024-07-24,2024-09-04,4400.9,0
161,Occitanie,2023-04-24,2023-07-05,284.98,0
162,Occitanie,2025-04-19,2025-04-26,1179.13,0
163,Auvergne-Rhône-Alpes,2025-07-17,2025-09-18,4317.76,0
164,Occitanie,2022-10-30,2022-11-11,4501.26,1
165,Île-de-France,2024-01-26,2024-02-02,2817.74,0
166,Provence-Alpes-Côte d'Azur,2023-10-27,2024-01-09,2326.71,0
167,Occitanie,2023-05-03,2023-06-05,1242.46,0
168,Occitanie,2023-01-24,2023-02-26,4179.42,0
169,Provence-Alpes-Côte d'Azur,2025-02-18,2025-03-15,2141.27,0
170,Auvergne-Rhône-Alpes,2023-01-20,2023-02-11,1373.0,0
171,Nouvelle-Aquitaine,2025-04-02,2025-06-23,2945.55,0
172,Nouvelle-Aquitaine,2023-05-13,2023-06-03,865.46,0
173,Provence-Alpes-Côte d'Azur,2022-10-14,2022-12-06,782.51,0
174,Auvergne-Rhône-Alpes,2022-09-27,2022-11-08,1551.83,0
175,Île-de-France,2025-01-28,2025-02-12,4731.64,0
176,Auvergne-Rhône-Alpes,2025-08-20,2025-11-05,1066.62,0
177,Provence-Alpes-Côte d'Azur,2025-06-17,2025-07-24,391.63,0
178,Provence-Alpes-Côte d'Azur,2024-03-15,2024-06-03,1912.32,0
179,Occitanie,2023-07-23,2023-10-14,1037.4,0
180,Provence-Alpes-Côte d'Azur,2023-05-06,2023-07-27,407.37,0
181,Provence-Alpes-Côte d'Azur,2022-12-05,2023-01-04,464.39,0
182,Nouvelle-Aquitaine,2023-08-23,2023-11-10,3993.89,0
183,Auvergne-Rhône-Alpes,2023-10-09,2023-10-14,430.75,0
184,Auvergne-Rhône-Alpes,2025-04-30,2025-05-06,4254.29,0
185,Occitanie,2023-09-09,2023-12-02,2089.95,0
186,Île-de-France,2025-06-15,2025-09-09,3321.06,0
187,Nouvelle-Aquitaine,2023-09-06,2023-09-29,3910.82,1
188,Nouvelle-Aquitaine,2023-03-05,2023-05-24,2602.79,0
189,Nouvelle-Aquitaine,2024-07-25,2024-07-29,4665.22,1
190,Provence-Alpes-Côte d'Azur,2025-04-22,2025-07-14,3377.09,0
191,Île-de-France,2023-03-08,2023-05-30,3409.14,0
192,Occitanie,2025-01-12,2025-04-07,1229.73,0
193,Auvergne-Rhône-Alpes,2024-04-29,2024-04-30,4974.45,0
194,Provence-Alpes-Côte d'Azur,2025-03-08,2025-04-14,3792.66,0
195,Auvergne-Rhône-Alpes,2022-12-10,2023-01-30,1395.63,0
196,Provence-Alpes-Côte d'Azur,2023-04-22,2023-06-25,3481.48,0
197,Provence-Alpes-Côte d'Azur,2025-03-21,2025-04-07,3688.42,0
198,Nouvelle-Aquitaine,2024-01-15,2024-01-29,2107.94,0
199,Île-de-France,2022-11-01,2023-01-03,121.69,0
200,Occitanie,2024-02-22,2024-05-19,507.6,0
201,Occitanie,2024-11-07,2024-12-27,2853.08,1
202,Occitanie,2024-02-26,2024-03-08,2052.55,0
203,Provence-Alpes-Côte d'Azur,2025-01-03,2025-01-12,2506.01,0
204,Occitanie,2023-06-27,2023-06-27,2844.17,0
205,Île-de-France,2024-11-23,2024-12-06,4671.99,0
206,Nouvelle-Aquitaine,2022-10-17,2022-10-23,2713.62,0
207,Provence-Alpes-Côte d'Azur,2025-05-13,2025-07-22,4118.55,0
208,Nouvelle-Aquitaine,2024-04-05,2024-06-30,4806.3,0
209,Provence-Alpes-Côte d'Azur,2023-06-24,2023-07-02,3461.34,0
210,Nouvelle-Aquitaine,2025-06-28,2025-08-02,3588.97,0
211,Île-de-France,2024-03-11,2024-03-17,4592.31,0
212,Occitanie,2024-06-21,2024-09-14,3220.74,1
213,Occitanie,2025-07-15,2025-10-07,2178.05,0
214,Île-de-France,2024-07-26,2024-10-09,4279.57,1
215,Île-de-France,2024-05-17,2024-06-26,2531.07,0
216,Occitanie,2024-12-14,2025-02-09,725.56,0
217,Auvergne-Rhône-Alpes,2023-04-16,2023-06-11,2720.89,0
218,Auvergne-Rhône-Alpes,2025-04-15,2025-05-28,2884.76,1
219,Île-de-France,2024-11-15,2024-12-20,1721.63,0
220,Auvergne-Rhône-Alpes,2025-02-01,2025-04-21,3429.3,0
221,Provence-Alpes-Côte d'Azur,2023-11-12,2023-11-20,1339.78,0
222,Auvergne-Rhône-Alpes,2023-10-08,2023-11-14,359.41,0
223,Île-de-France,2022-12-16,2022-12-21,2319.49,0
224,Provence-Alpes-Côte d'Azur,2022-10-21,2022-11-30,3493.24,0
225,Nouvelle-Aquitaine,2023-03-23,2023-04-19,4359.76,0
226,Occitanie,2023-01-09,2023-03-17,1992.26,1
227,Auvergne-Rhône-Alpes,2023-09-07,2023-10-26,1344.87,0
228,Île-de-France,2022-10-21,2022-11-19,1702.12,0
229,Île-de-France,2023-10-13,2023-11-30,665.34,0
230,Nouvelle-Aquitaine,2025-06-06,2025-08-08,4046.65,0
231,Occitanie,2023-01-28,2023-01-31,2241.03,0
232,Occitanie,2023-04-14,2023-04-19,2050.82,0
233,Auvergne-Rhône-Alpes,2024-02-27,2024-04-06,4103.33,0
234,Auvergne-Rhône-Alpes,2023-12-29,2024-01-03,3419.65,0
235,Nouvelle-Aquitaine,2025-01-31,2025-04-13,4960.18,1
236,Nouvelle-Aquitaine,2024-01-15,2024-04-03,3227.12,0
237,Provence-Alpes-Côte d'Azur,2024-07-20,2024-08-10,1751.97,1
238,Nouvelle-Aquitaine,2023-01-13,2023-02-11,533.06,0
239,Occitanie,2023-12-03,2024-01-14,2454.07,0
240,Île-de-France,2024-11-02,2024-12-09,3084.51,0
241,Occitanie,2024-05-09,2024-06-24,2652.7,0
242,Occitanie,2023-07-29,2023-09-21,1682.6,0
243,Île-de-France,2025-07-25,2025-10-17,123.51,0
244,Occitanie,2024-05-21,2024-06-25,4709.1,0
245,Occitanie,2024-01-15,2024-02-19,2222.75,0
246,Provence-Alpes-Côte d'Azur,2024-01-20,2024-04-05,3157.06,0
247,Nouvelle-Aquitaine,2023-07-31,2023-10-20,2127.02,0
248,Auvergne-Rhône-Alpes,2024-05-08,2024-06-23,649.2,0
249,Île-de-France,2023-02-17,2023-03-02,1816.05,0
250,Île-de-France,2025-05-27,2025-07-31,2621.83,0
251,Île-de-France,2023-11-06,2023-11-12,1864.05,0
252,Auvergne-Rhône-Alpes,2025-01-28,2025-03-05,3486.36,0
253,Nouvelle-Aquitaine,2022-12-18,2023-01-07,4776.59,0
254,Nouvelle-Aquitaine,2025-03-27,2025-06-10,199.63,0
255,Provence-Alpes-Côte d'Azur,2024-09-04,2024-10-13,2880.93,0
256,Île-de-France,2023-02-13,2023-02-18,236.28,0
257,Île-de-France,2022-12-23,2023-03-21,2337.36,0
258,Auvergne-Rhône-Alpes,2023-02-17,2023-04-28,4086.62,1
259,Provence-Alpes-Côte d'Azur,2023-11-10,2023-12-26,1513.84,0
260,Occitanie,2022-12-19,2022-12-24,2554.66,0
261,Île-de-France,2024-05-22,2024-06-07,1486.02,0
262,Auvergne-Rhône-Alpes,2023-02-11,2023-03-19,1982.29,0
263,Occitanie,2025-09-18,2025-11-19,1202.97,0
264,Nouvelle-Aquitaine,2024-11-06,2024-12-03,758.71,0
265,Île-de-France,2023-12-14,2024-02-10,2585.82,0
266,Auvergne-Rhône-Alpes,2023-09-11,2023-09-18,693.94,0
267,Occitanie,2023-08-02,2023-09-24,4529.69,1
268,Provence-Alpes-Côte d'Azur,2023-09-15,2023-10-20,4342.98,0
269,Nouvelle-Aquitaine,2023-10-21,2024-01-15,4131.09,0
270,Provence-Alpes-Côte d'Azur,2022-11-11,2022-11-13,1073.16,0
271,Auvergne-Rhône-Alpes,2023-04-22,2023-05-14,938.26,0
272,Auvergne-Rhône-Alpes,2023-11-26,2024-02-16,1250.89,0
273,Île-de-France,2024-07-05,2024-09-10,413.08,0
274,Nouvelle-Aquitaine,2024-03-06,2024-05-31,216.33,0
275,Île-de-France,2025-01-20,2025-02-02,1510.08,0
276,Auvergne-Rhône-Alpes,2025-04-03,2025-04-09,3208.12,0
277,Île-de-France,2025-07-29,2025-10-20,4218.87,0
278,Nouvelle-Aquitaine,2024-02-07,2024-03-25,455.45,1
279,Nouvelle-Aquitaine,2025-09-12,2025-10-03,393.54,0
280,Auvergne-Rhône-Alpes,2024-06-04,2024-06-25,3812.99,0
281,Auvergne-Rhône-Alpes,2023-04-08,2023-05-08,2805.38,0
282,Nouvelle-Aquitaine,2022-11-12,2022-11-19,3995.34,0
283,Occitanie,2022-10-06,2022-10-23,647.14,0
284,Île-de-France,2023-01-17,2023-03-08,456.74,1
285,Auvergne-Rhône-Alpes,2024-11-07,2024-11-12,665.64,0
286,Provence-Alpes-Côte d'Azur,2023-01-21,2023-02-17,2582.79,0
287,Provence-Alpes-Côte d'Azur,2025-09-15,2025-12-02,3953.83,0
288,Occitanie,2023-05-13,2023-06-17,1980.0,0
289,Nouvelle-Aquitaine,2023-10-20,2023-11-27,4087.5,0
290,Auvergne-Rhône-Alpes,2025-07-03,2025-08-05,1164.07,0
291,Auvergne-Rhône-Alpes,2025-02-19,2025-04-28,3049.56,0
292,Provence-Alpes-Côte d'Azur,2025-07-22,2025-10-04,3482.11,0
293,Île-de-France,2024-02-01,2024-02-13,4323.74,0
294,Auvergne-Rhône-Alpes,2024-07-02,2024-07-05,958.36,1
295,Île-de-France,2025-07-16,2025-07-17,3322.8,0
296,Provence-Alpes-Côte d'Azur,2024-10-22,2024-12-10,183.67,0
297,Île-de-France,2024-04-25,2024-05-20,3607.6,0
298,Île-de-France,2023-07-12,2023-10-01,4989.33,1
299,Provence-Alpes-Côte d'Azur,2025-04-11,2025-06-17,2742.37,0
300,Nouvelle-Aquitaine,2025-02-22,2025-04-20,4265.99,0
301,Auvergne-Rhône-Alpes,2022-11-10,2022-11-28,1654.98,0
302,Provence-Alpes-Côte d'Azur,2024-12-29,2025-03-22,2032.38,0
303,Auvergne-Rhône-Alpes,2025-04-13,2025-05-01,2083.39,0
304,Auvergne-Rhône-Alpes,2025-04-02,2025-05-29,3236.38,0
305,Occitanie,2023-06-08,2023-06-17,3310.8,0
306,Occitanie,2023-12-25,2024-01-07,4736.48,0
307,Auvergne-Rhône-Alpes,2024-10-15,2024-11-17,2274.99,1
308,Provence-Alpes-Côte d'Azur,2024-05-02,2024-07-28,4030.32,0
309,Auvergne-Rhône-Alpes,2023-03-16,2023-05-07,3507.57,0
310,Provence-Alpes-Côte d'Azur,2024-07-13,2024-10-03,3051.39,1
311,Île-de-France,2024-06-05,2024-06-10,1634.33,0
312,Occitanie,2024-09-22,2024-09-26,379.03,0
313,Île-de-France,2025-08-26,2025-11-18,3741.62,0
314,Nouvelle-Aquitaine,2023-04-02,2023-05-29,2383.98,0
315,Auvergne-Rhône-Alpes,2024-10-03,2024-12-14,2151.94,0
316,Île-de-France,2023-05-29,2023-06-30,4734.24,0
317,Provence-Alpes-Côte d'Azur,2025-01-19,2025-02-18,4941.87,0
318,Occitanie,2025-06-18,2025-08-28,3851.92,0
319,Île-de-France,2023-09-11,2023-11-15,4886.64,0
320,Île-de-France,2023-11-23,2024-01-24,1762.69,0
321,Occitanie,2024-08-08,2024-09-14,898.76,0
322,Provence-Alpes-Côte d'Azur,2024-12-01,2024-12-10,3983.43,0
323,Provence-Alpes-Côte d'Azur,2023-08-25,2023-09-04,3920.87,0
324,Occitanie,2023-11-08,2024-01-11,2629.43,0
325,Île-de-France,2024-02-11,2024-05-03,794.38,0
326,Provence-Alpes-Côte d'Azur,2023-11-14,2024-02-06,1340.51,0
327,Île-de-France,2025-07-11,2025-09-08,4812.87,0
328,Auvergne-Rhône-Alpes,2024-02-04,2024-03-02,3347.01,0
329,Nouvelle-Aquitaine,2023-04-07,2023-06-15,3901.26,0
330,Occitanie,2023-03-17,2023-04-06,595.79,0
331,Provence-Alpes-Côte d'Azur,2025-09-02,2025-11-17,1962.64,0
332,Nouvelle-Aquitaine,2023-10-20,2023-11-11,1335.72,0
333,Île-de-France,2024-08-31,2024-11-23,2555.69,0
334,Provence-Alpes-Côte d'Azur,2023-02-04,2023-03-02,855.2,0
335,Nouvelle-Aquitaine,2023-04-17,2023-05-20,3657.26,0
336,Occitanie,2024-04-01,2024-04-06,4302.15,1
337,Provence-Alpes-Côte d'Azur,2023-08-09,2023-08-15,2860.94,0
338,Nouvelle-Aquitaine,2023-04-07,2023-06-26,4978.44,0
339,Nouvelle-Aquitaine,2023-03-06,2023-05-15,4037.83,0
340,Auvergne-Rhône-Alpes,2024-06-15,2024-07-19,3504.63,0
341,Occitanie,2023-10-30,2023-11-19,3399.1,0
342,Île-de-France,2025-05-02,2025-05-02,603.81,0
343,Île-de-France,2024-06-25,2024-06-25,409.84,0
344,Auvergne-Rhône-Alpes,2022-11-30,2022-12-05,3260.72,1
345,Auvergne-Rhône-Alpes,2024-06-24,2024-07-13,2181.98,0
346,Auvergne-Rhône-Alpes,2023-10-27,2023-11-25,3723.2,0
347,Provence-Alpes-Côte d'Azur,2024-01-07,2024-04-05,3542.55,0
348,Île-de-France,2024-11-05,2025-01-13,1656.24,0
349,Provence-Alpes-Côte d'Azur,2023-08-13,2023-09-22,693.77,0
350,Occitanie,2025-08-11,2025-10-12,3597.25,0
351,Île-de-France,2025-03-30,2025-06-15,3573.39,0
352,Occitanie,2025-02-23,2025-05-24,1338.08,0
353,Île-de-France,2023-01-27,2023-02-07,2350.37,0
354,Île-de-France,2023-07-26,2023-09-08,4562.49,0
355,Île-de-France,2025-09-10,2025-10-02,4701.01,0
356,Île-de-France,2024-02-01,2024-04-01,438.3,0
357,Nouvelle-Aquitaine,2022-11-24,2023-01-14,842.09,0
358,Île-de-France,2022-09-25,2022-12-24,4086.26,0
359,Île-de-France,2022-12-18,2023-01-28,2758.95,0
360,Nouvelle-Aquitaine,2024-05-15,2024-05-21,3305.84,0
361,Provence-Alpes-Côte d'Azur,2024-03-24,2024-04-23,2313.25,0
362,Provence-Alpes-Côte d'Azur,2023-10-13,2023-10-30,2203.86,0
363,Auvergne-Rhône-Alpes,2022-12-07,2023-02-18,3232.36,0
364,Nouvelle-Aquitaine,2023-11-07,2023-12-03,4095.51,0
365,Nouvelle-Aquitaine,2024-12-23,2025-01-07,4168.37,0
366,Nouvelle-Aquitaine,2024-02-27,2024-05-09,1317.81,0
367,Nouvelle-Aquitaine,2023-09-24,2023-09-28,1225.36,0
368,Nouvelle-Aquitaine,2023-10-14,2023-12-30,928.81,0
369,Île-de-France,2023-05-16,2023-05-21,4689.75,0
370,Île-de-France,2025-08-31,2025-11-01,211.22,0
371,Occitanie,2022-11-11,2022-12-31,4181.44,0
372,Île-de-France,2025-09-08,2025-09-11,4695.2,0
373,Île-de-France,2023-12-14,2023-12-19,4537.84,0
374,Auvergne-Rhône-Alpes,2025-01-07,2025-02-11,1515.52,0
375,Auvergne-Rhône-Alpes,2024-04-18,2024-06-25,3550.36,0
376,Auvergne-Rhône-Alpes,2023-02-28,2023-03-01,4908.15,0
377,Auvergne-Rhône-Alpes,2023-01-07,2023-03-04,3744.99,0
378,Île-de-France,2023-12-05,2024-02-02,169.98,0
379,Nouvelle-Aquitaine,2022-10-02,2022-12-09,2980.27,0
380,Nouvelle-Aquitaine,2024-07-13,2024-10-08,1407.72,0
381,Nouvelle-Aquitaine,2022-10-31,2022-12-01,741.68,0
382,Île-de-France,2024-12-04,2025-01-31,1618.86,0
383,Occitanie,2025-08-08,2025-08-16,1577.49,1
384,Occitanie,2025-06-15,2025-07-28,4213.21,1
385,Île-de-France,2024-05-01,2024-05-21,854.56,0
386,Île-de-France,2023-05-31,2023-06-07,1107.1,0
387,Nouvelle-Aquitaine,2024-06-07,2024-07-04,946.72,0
388,Île-de-France,2023-01-17,2023-02-28,4168.38,0
389,Provence-Alpes-Côte d'Azur,2023-01-28,2023-04-02,1270.34,0
390,Île-de-France,2025-05-29,2025-08-12,479.21,0
391,Provence-Alpes-Côte d'Azur,2023-04-24,2023-05-30,549.79,0
392,Auvergne-Rhône-Alpes,2022-10-27,2022-12-09,3601.09,0
393,Île-de-France,2025-01-15,2025-03-11,513.79,0
394,Occitanie,2023-07-13,2023-08-28,1852.17,0
395,Île-de-France,2025-02-26,2025-05-15,4242.34,0
396,Île-de-France,2022-11-08,2023-02-02,1271.62,0
397,Occitanie,2024-07-12,2024-09-29,558.52,0
398,Auvergne-Rhône-Alpes,2022-12-28,2023-01-19,3981.44,0
399,Île-de-France,2024-10-31,2024-11-15,2089.48,0
400,Occitanie,2025-02-12,2025-04-19,4587.81,1
401,Nouvelle-Aquitaine,2023-10-14,2023-12-11,1021.58,1
402,Auvergne-Rhône-Alpes,2023-01-25,2023-02-16,4282.62,1
